Alcohol_Consumption	Annual_temp	Country	H_Rank	H_Score	Iso_3Digit	Region	Year
10.4	4.749057397	Switzerland	1	7.587	CHE	Europe	2015
6.9	1.351408623	Iceland	2	7.561	ISL	Europe	2015
10.2	7.818978497	Denmark	3	7.527	DNK	Europe	2015
7	0.753892466	Norway	4	7.522	NOR	Europe	2015
10.3	-7.144579613	Canada	5	7.427	CAN	North America	2015
11.9	1.347861143	Finland	6	7.406	FIN	Europe	2015
9.6	9.201737642	Netherlands	7	7.378	NLD	Europe	2015
8.7	1.546350562	Sweden	8	7.364	SWE	Europe	2015
11.2	9.975832156	New Zealand	9	7.286	NZL	Australia and New Zealand	2015
12.6	21.50667634	Australia	10	7.284	AUS	Australia and New Zealand	2015
3.1	19.69800023	Israel	11	7.278	ISR	Middle East	2015
5.1	23.85092872	Costa Rica	12	7.226	CRI	Latin America and Caribbean	2015
8.5	6.186012748	Austria	13	7.2	AUT	Europe	2015
6.8	20.54469315	Mexico	14	7.187	MEX	Latin America and Caribbean	2015
9	6.754627068	United States	15	7.119	USA	North America	2015
9.1	24.91577183	Brazil	16	6.983	BRA	Latin America and Caribbean	2015
11.2	8.88189983	Luxembourg	17	6.946	LUX	Europe	2015
10.9	9.107924359	Ireland	18	6.94	IRL	Europe	2015
10.8	9.514241274	Belgium	19	6.937	BEL	Europe	2015
4.3	26.82560888	United Arab Emirates	20	6.901	ARE	Middle East	2015
12	8.310239139	United Kingdom	21	6.867	GBR	Europe	2015
0.9	25.45410276	Oman	22	6.853	OMN	Middle East	2015
8.3	25.31845425	Venezuela	23	6.81	VEN	Latin America and Caribbean	2015
2.9	27	Singapore	24	6.798	SGP	Asia	2015
7.7	24.72233335	Panama	25	6.786	PAN	Latin America and Caribbean	2015
10.6	8.504451892	Germany	26	6.75	DEU	Europe	2015
9.3	8.369828303	Chile	27	6.67	CHL	Latin America and Caribbean	2015
1.3	26.9173336	Qatar	28	6.611	QAT	Middle East	2015
11.6	10.54372223	France	29	6.575	FRA	Europe	2015
7.6	14.21522492	Argentina	30	6.574	ARG	Latin America and Caribbean	2015
