Alcohol_Consumption	Annual_temp	Country	H_Rank	H_Score	Iso_3Digit	Region	Year
10.4	4.749057397	Switzerland	1	7.587	CHE	Europe	2015
6.9	1.351408623	Iceland	2	7.561	ISL	Europe	2015
10.2	7.818978497	Denmark	3	7.527	DNK	Europe	2015
7	0.753892466	Norway	4	7.522	NOR	Europe	2015
10.3	-7.144579613	Canada	5	7.427	CAN	North America	2015
11.9	1.347861143	Finland	6	7.406	FIN	Europe	2015
9.6	9.201737642	Netherlands	7	7.378	NLD	Europe	2015
8.7	1.546350562	Sweden	8	7.364	SWE	Europe	2015
11.2	9.975832156	New Zealand	9	7.286	NZL	Australia and New Zealand	2015
12.6	21.50667634	Australia	10	7.284	AUS	Australia and New Zealand	2015
3.1	19.69800023	Israel	11	7.278	ISR	Middle East	2015
5.1	23.85092872	Costa Rica	12	7.226	CRI	Latin America and Caribbean	2015
8.5	6.186012748	Austria	13	7.2	AUT	Europe	2015
6.8	20.54469315	Mexico	14	7.187	MEX	Latin America and Caribbean	2015
9	6.754627068	United States	15	7.119	USA	North America	2015
9.1	24.91577183	Brazil	16	6.983	BRA	Latin America and Caribbean	2015
11.2	8.88189983	Luxembourg	17	6.946	LUX	Europe	2015
10.9	9.107924359	Ireland	18	6.94	IRL	Europe	2015
10.8	9.514241274	Belgium	19	6.937	BEL	Europe	2015
4.3	26.82560888	United Arab Emirates	20	6.901	ARE	Middle East	2015
12	8.310239139	United Kingdom	21	6.867	GBR	Europe	2015
0.9	25.45410276	Oman	22	6.853	OMN	Middle East	2015
8.3	25.31845425	Venezuela	23	6.81	VEN	Latin America and Caribbean	2015
2.9	27	Singapore	24	6.798	SGP	Asia	2015
7.7	24.72233335	Panama	25	6.786	PAN	Latin America and Caribbean	2015
10.6	8.504451892	Germany	26	6.75	DEU	Europe	2015
9.3	8.369828303	Chile	27	6.67	CHL	Latin America and Caribbean	2015
1.3	26.9173336	Qatar	28	6.611	QAT	Middle East	2015
11.6	10.54372223	France	29	6.575	FRA	Europe	2015
7.6	14.21522492	Argentina	30	6.574	ARG	Latin America and Caribbean	2015
14.1	7.665499973	Czech Republic	31	6.505	CZE	Europe	2015
7	17.5674857	Uruguay	32	6.485	URY	Latin America and Caribbean	2015
6.6	24.40381182	Colombia	33	6.477	COL	Latin America and Caribbean	2015
8.3	26.24988821	Thailand	34	6.455	THA	Asia	2015
0.2	24.65100734	Saudi Arabia	35	6.411	SAU	Middle East	2015
10.6	13.02547607	Spain	36	6.329	ESP	Europe	2015
0.1	25.15349984	Kuwait	39	6.295	KWT	Middle East	2015
6.5	25.76608164	Suriname	40	6.269	SUR	Latin America and Caribbean	2015
6.6	25.8625002	Trinidad and Tobago	41	6.168	TTO	Latin America and Caribbean	2015
3.5	24.77087498	El Salvador	42	6.13	SLV	Latin America and Caribbean	2015
3.9	23.07117961	Guatemala	43	6.123	GTM	Latin America and Caribbean	2015
4.8	12.51938332	Uzbekistan	44	6.003	UZB	Europe	2015
12.5	7.269396131	Slovakia	45	5.995	SVK	Europe	2015
7.5	10.36272594	Japan	46	5.987	JPN	Asia	2015
10.9	10.65980231	South Korea	47	5.984	KOR	Asia	2015
6.1	21.32904646	Ecuador	48	5.975	ECU	Latin America and Caribbean	2015
6.1	11.5006943	Italy	50	5.948	ITA	Europe	2015
5.8	20.97503004	Bolivia	51	5.89	BOL	Latin America and Caribbean	2015
17.4	9.667174936	Moldova	52	5.889	MDA	Europe	2015
9.6	23.48019004	Paraguay	53	5.878	PRY	Latin America and Caribbean	2015
8.2	5.987870514	Kazakhstan	54	5.855	KAZ	Europe	2015
10.9	8.04021112	Slovenia	55	5.848	SVN	Europe	2015
16.2	6.244905105	Lithuania	56	5.833	LTU	Europe	2015
4.6	24.58878273	Nicaragua	57	5.828	NIC	Latin America and Caribbean	2015
5.2	19.45650895	Peru	58	5.824	PER	Latin America and Caribbean	2015
17.1	6.294930099	Belarus	59	5.813	BLR	Europe	2015
11.5	7.868831915	Poland	60	5.791	POL	Europe	2015
1.7	25.13883809	Malaysia	61	5.77	MYS	Asia	2015
11.7	10.47091069	Croatia	62	5.759	HRV	Europe	2015
0	21.89996952	Libya	63	5.754	LBY	Africa	2015
14.5	-6.321294479	Russia	64	5.716	RUS	Europe	2015
5.1	24.46899986	Jamaica	65	5.709	JAM	Latin America and Caribbean	2015
9.1	18.71350002	Cyprus	67	5.689	CYP	Europe	2015
0.6	22.57579114	Algeria	68	5.605	DZA	Africa	2015
5	15.21978049	Turkmenistan	70	5.548	TKM	Europe	2015
4	23.12700081	Mauritius	71	5.477	MUS	Africa	2015
0.6	25.71897009	Indonesia	74	5.399	IDN	Asia	2015
8.7	24.06964913	Vietnam	75	5.36	VNM	Asia	2015
2.4	10.93360648	Turkey	76	5.332	TUR	Middle East	2015
3.9	1.093056123	Kyrgyzstan	77	5.286	KGZ	Europe	2015
11.3	26.78221455	Nigeria	78	5.268	NGA	Africa	2015
1.1	8.57504293	Bhutan	79	5.253	BTN	Asia	2015
2.1	12.22434447	Azerbaijan	80	5.212	AZE	Europe	2015
0.1	19.9810149	Pakistan	81	5.194	PAK	Asia	2015
0.7	18.35282849	Jordan	82	5.192	JOR	Middle East	2015
11.5	7.906949917	Montenegro	82	5.192	MNE	Europe	2015
7.6	6.325663982	China	84	5.14	CHN	Asia	2015
4	21.58413197	Zambia	85	5.129	ZMB	Africa	2015
12.9	8.811245525	Romania	86	5.124	ROU	Europe	2015
12.5	14.97038087	Portugal	88	5.102	PRT	Europe	2015
10.6	5.626625729	Latvia	89	5.098	LVA	Europe	2015
5.6	25.32667419	Philippines	90	5.073	PHL	Asia	2015
0.7	17.2250961	Morocco	92	5.013	MAR	Africa	2015
5.7	9.853518182	Macedonia	93	5.007	MKD	Europe	2015
2	23.68935959	Mozambique	94	4.971	MOZ	Africa	2015
6.6	11.26980007	Albania	95	4.959	ALB	Europe	2015
7.5	9.016531835	Bosnia and Herzegovina	96	4.949	BIH	Europe	2015
6.4	11.97447515	Lesotho	97	4.898	LSO	Africa	2015
7.6	23.92974985	Dominican Republic	98	4.885	DOM	Latin America and Caribbean	2015
7.5	23.21746666	Laos	99	4.876	LAO	Asia	2015
7.8	-0.49904369	Mongolia	100	4.874	MNG	Asia	2015
6.4	20.41380005	Swaziland	101	4.867	SWZ	Africa	2015
9.3	13.65550198	Greece	102	4.857	GRC	Europe	2015
2.2	15.61349988	Lebanon	103	4.839	LBN	Middle East	2015
12.4	10.06144773	Hungary	104	4.8	HUN	Europe	2015
4	23.38608334	Honduras	105	4.788	HND	Latin America and Caribbean	2015
2.4	3.025248465	Tajikistan	106	4.786	TJK	Europe	2015
1.2	19.36345617	Tunisia	107	4.739	TUN	Africa	2015
0.2	25.4709131	Bangladesh	109	4.694	BGD	Asia	2015
1	16.92655785	Iran	110	4.686	IRN	Middle East	2015
11.8	8.205565565	Ukraine	111	4.681	UKR	Europe	2015
0.5	21.57999357	Iraq	112	4.677	IRQ	Middle East	2015
11.5	17.59687334	South Africa	113	4.642	ZAF	Africa	2015
5.4	27.25177926	Ghana	114	4.633	GHA	Africa	2015
4.8	21.03138971	Zimbabwe	115	4.61	ZWE	Africa	2015
5.2	25.2524195	Liberia	116	4.571	LBR	Africa	2015
4.6	23.94543419	India	117	4.565	IND	Asia	2015
2.7	26.82433383	Sudan	118	4.55	SDN	Africa	2015
5.9	24.47507682	Haiti	119	4.518	HTI	Latin America and Caribbean	2015
2.1	12.74394042	Nepal	121	4.514	NPL	Asia	2015
4.3	22.37039295	Ethiopia	122	4.512	ETH	Africa	2015
8.2	26.0437999	Sierra Leone	123	4.507	SLE	Africa	2015
0.1	27.69289724	Mauritania	124	4.436	MRT	Africa	2015
4	24.4994653	Kenya	125	4.419	KEN	Africa	2015
0.9	27.64300019	Djibouti	126	4.369	DJI	Africa	2015
5.5	6.374361625	Armenia	127	4.35	ARM	Europe	2015
7.7	21.47853885	Botswana	128	4.332	BWA	Africa	2015
0.7	22.95692088	Myanmar	129	4.307	MMR	Asia	2015
6.7	7.3648176	Georgia	130	4.297	GEO	Europe	2015
2.5	21.97876318	Malawi	131	4.292	MWI	Africa	2015
4.5	26.75522735	Sri Lanka	132	4.271	LKA	Asia	2015
7.7	24.52785039	Cameroon	133	4.252	CMR	Africa	2015
11.3	10.39676164	Bulgaria	134	4.218	BGR	Europe	2015
0.3	22.12045302	Egypt	135	4.194	EGY	Middle East	2015
0.2	23.15716874	Yemen	136	4.077	YEM	Middle East	2015
7.6	21.51093269	Angola	137	4.033	AGO	Africa	2015
1	28.29987354	Mali	138	3.995	MLI	Africa	2015
0.2	23.98699951	Comoros	140	3.956	COM	Africa	2015
10.5	22.59584155	Uganda	141	3.931	UGA	Africa	2015
0.5	27.87320583	Senegal	142	3.904	SEN	Africa	2015
11.8	24.99982139	Gabon	143	3.896	GAB	Africa	2015
0.3	27.23872952	Niger	144	3.845	NER	Africa	2015
6.1	26.93950004	Cambodia	145	3.819	KHM	Asia	2015
8.1	22.30580982	Tanzania	146	3.781	TZA	Africa	2015
1.9	22.01356848	Madagascar	147	3.681	MDG	Africa	2015
3.8	24.83925494	Central African Republic	148	3.678	CAF	Africa	2015
4.4	26.65074126	Chad	149	3.667	TCD	Africa	2015
0.7	25.5476409	Guinea	150	3.656	GIN	Africa	2015
7.4	28.17636051	Burkina Faso	152	3.587	BFA	Africa	2015
1	12.92145452	Afghanistan	153	3.575	AFG	Asia	2015
10	19.01189995	Rwanda	154	3.465	RWA	Africa	2015
2.2	27.46155267	Benin	155	3.34	BEN	Africa	2015
1.4	17.64578075	Syria	156	3.006	SYR	Middle East	2015
9.8	20.26609974	Burundi	157	2.905	BDI	Africa	2015
1.9	26.79911137	Togo	158	2.839	TGO	Africa	2015
